iter	Passed	Remaining
407	5234	7595
408	5248	7583
409	5258	7567
410	5270	7552
411	5282	7539
412	5294	7525
413	5305	7510
414	5317	7495
415	5329	7481
416	5342	7468
417	5355	7456
418	5366	7441
419	5379	7429
420	5391	7415
421	5403	7400
422	5415	7387
423	5427	7373
424	5438	7358
425	5450	7344
426	5462	7330
427	5475	7317
428	5486	7302
429	5499	7289
430	5512	7277
431	5523	7263
432	5535	7247
433	5548	7236
434	5561	7223
435	5573	7209
436	5584	7194
437	5597	7182
438	5609	7168
439	5623	7157
440	5636	7144
441	5649	7132
442	5662	7119
443	5674	7105
444	5685	7090
445	5697	7077
446	5709	7063
447	5723	7051
448	5734	7037
449	5746	7023
450	5759	7011
451	5772	6998
452	5786	6986
453	5797	6972
454	5810	6959
455	5823	6947
456	5836	6934
457	5848	6921
458	5861	6908
459	5874	6896
460	5887	6883
461	5898	6869
462	5911	6856
463	5925	6844
464	5936	6830
465	5948	6815
466	5960	6802
467	5972	6789
468	5985	6776
469	5997	6762
470	6010	6750
471	6025	6740
472	6039	6728
473	6051	6715
474	6062	6700
475	6075	6687
476	6087	6675
477	6100	6662
478	6111	6647
479	6123	6634
480	6135	6620
481	6148	6608
482	6160	6594
483	6172	6580
484	6183	6566
485	6194	6551
486	6206	6538
487	6218	6524
488	6230	6510
489	6241	6496
490	6254	6483
491	6266	6470
492	6277	6456
493	6289	6442
494	6301	6429
495	6313	6415
496	6324	6401
497	6337	6388
498	6350	6375
499	6362	6362
500	6374	6348
501	6387	6336
502	6399	6323
503	6412	6310
504	6425	6298
505	6437	6285
506	6450	6272
507	6464	6260
508	6477	6248
509	6490	6235
510	6503	6223
511	6515	6210
512	6528	6197
513	6539	6183
514	6552	6170
515	6565	6157
516	6577	6144
517	6589	6131
518	6601	6118
519	6614	6105
520	6626	6092
521	6638	6078
522	6651	6066
523	6664	6054
524	6677	6041
525	6690	6028
526	6702	6015
527	6715	6002
528	6726	5989
529	6739	5976
530	6751	5963
531	6763	5950
532	6776	5937
533	6788	5923
534	6800	5910
535	6813	5897
536	6826	5885
537	6839	5873
538	6851	5859
539	6863	5846
540	6875	5833
541	6887	5819
542	6900	5807
543	6913	5794
544	6924	5780
545	6936	5767
546	6948	5754
547	6960	5740
548	6972	5727
549	6983	5713
550	6995	5700
551	7007	5687
552	7019	5673
553	7031	5660
554	7045	5648
555	7057	5635
556	7069	5622
557	7080	5608
558	7093	5596
559	7106	5583
560	7118	5570
561	7129	5556
562	7142	5544
563	7155	5531
564	7168	5519
565	7180	5505
566	7194	5494
567	7207	5481
568	7220	5469
569	7232	5456
570	7246	5444
571	7258	5430
572	7271	5418
573	7284	5406
574	7295	5392
575	7308	5380
576	7321	5367
577	7334	5355
578	7346	5341
579	7358	5328
580	7372	5316
581	7386	5304
582	7398	5291
583	7411	5279
584	7424	5267
585	7437	5254
586	7450	5242
587	7464	5230
588	7475	5216
589	7487	5203
590	7500	5190
591	7512	5177
592	7524	5164
593	7539	5152
594	7551	5139
595	7564	5127
596	7575	5113
597	7588	5101
598	7602	5089
599	7615	5077
600	7628	5064
601	7641	5052
602	7654	5039
603	7666	5026
604	7678	5013
605	7690	4999
606	7703	4987
607	7715	4974
608	7729	4962
609	7739	4948
610	7752	4935
611	7765	4923
612	7778	4910
613	7789	4897
614	7802	4884
615	7815	4871
616	7828	4859
617	7840	4846
618	7853	4833
619	7866	4821
620	7879	4808
621	7892	4796
622	7904	4783
623	7917	4770
624	7931	4758
625	7944	4746
626	7955	4732
627	7968	4720
628	7981	4707
629	7993	4694
630	8005	4681
631	8018	4668
632	8030	4656
633	8044	4643
634	8056	4631
635	8068	4617
636	8080	4604
637	8092	4591
638	8105	4579
639	8117	4566
640	8130	4553
641	8143	4541
642	8156	4528
643	8168	4515
644	8180	4502
645	8192	4489
646	8205	4477
647	8218	4464
648	8229	4450
649	8241	4437
650	8253	4424
651	8265	4411
652	8278	4399
653	8291	4386
654	8302	4373
655	8314	4360
656	8326	4347
657	8339	4334
658	8351	4321
659	8363	4308
660	8376	4295
661	8387	4282
662	8400	4269
663	8412	4256
664	8425	4244
665	8439	4232
666	8451	4219
667	8463	4206
668	8476	4193
669	8488	4181
670	8500	4168
671	8513	4155
672	8527	4143
673	8539	4130
674	8552	4117
675	8564	4104
676	8577	4092
677	8591	4080
678	8603	4067
679	8616	4054
680	8628	4041
681	8641	4029
682	8653	4016
683	8667	4004
684	8679	3991
685	8692	3978
686	8706	3966
687	8720	3954
688	8733	3942
689	8746	3929
690	8759	3916
691	8772	3904
692	8784	3891
693	8796	3878
694	8809	3865
695	8821	3853
696	8835	3840
697	8848	3828
698	8861	3815
699	8871	3802
700	8885	3789
701	8898	3777
702	8910	3764
703	8921	3751
704	8934	3738
705	8947	3726
706	8959	3713
707	8973	3701
708	8986	3688
709	8999	3675
710	9013	3663
711	9027	3651
712	9040	3639
713	9053	3626
714	9066	3613
715	9079	3601
716	9091	3588
717	9103	3575
718	9116	3562
719	9130	3550
720	9144	3538
721	9157	3525
722	9168	3512
723	9181	3500
724	9195	3487
725	9207	3475
726	9219	3462
727	9232	3449
728	9245	3436
729	9257	3423
730	9270	3411
731	9281	3398
732	9295	3385
733	9308	3373
734	9321	3360
735	9332	3347
736	9344	3334
737	9357	3321
738	9370	3309
739	9383	3296
740	9396	3284
741	9409	3271
742	9422	3259
743	9434	3246
744	9445	3233
745	9457	3220
746	9470	3207
747	9482	3194
748	9495	3181
749	9507	3169
750	9519	3156
751	9532	3143
752	9544	3130
753	9556	3117
754	9568	3105
755	9579	3091
756	9592	3079
757	9605	3066
758	9618	3054
759	9631	3041
760	9646	3029
761	9658	3016
762	9671	3004
763	9683	2991
764	9694	2978
765	9706	2965
766	9719	2952
767	9732	2939
768	9743	2926
769	9755	2914
770	9767	2901
771	9780	2888
772	9791	2875
773	9804	2862
774	9816	2850
775	9829	2837
776	9841	2824
777	9854	2811
778	9867	2799
779	9880	2786
780	9892	2774
781	9905	2761
782	9917	2748
783	9930	2736
784	9942	2723
785	9954	2710
786	9967	2697
787	9979	2684
788	9991	2672
789	10004	2659
790	10018	2647
791	10032	2634
792	10045	2622
793	10059	2609
794	10071	2597
795	10083	2584
796	10096	2571
797	10109	2558
798	10121	2546
799	10133	2533
800	10145	2520
801	10158	2507
802	10170	2495
803	10183	2482
804	10196	2470
805	10209	2457
806	10221	2444
807	10234	2431
808	10247	2419
809	10259	2406
810	10271	2393
811	10283	2381
812	10296	2368
813	10308	2355
814	10320	2342
815	10333	2329
816	10346	2317
817	10359	2304
818	10372	2292
819	10384	2279
820	10396	2266
821	10408	2253
822	10421	2241
823	10435	2228
824	10448	2216
825	10461	2203
826	10473	2190
827	10486	2178
828	10499	2165
829	10511	2152
830	10523	2140
831	10536	2127
832	10547	2114
833	10559	2101
834	10572	2089
835	10583	2076
836	10596	2063
837	10608	2050
838	10620	2038
839	10632	2025
840	10644	2012
841	10656	1999
842	10668	1986
843	10680	1974
844	10693	1961
845	10705	1948
846	10718	1936
847	10730	1923
848	10742	1910
849	10755	1898
850	10768	1885
851	10778	1872
852	10791	1859
853	10802	1846
854	10814	1834
855	10828	1821
856	10842	1809
857	10855	1796
858	10868	1783
859	10879	1771
860	10891	1758
861	10904	1745
862	10916	1733
863	10928	1720
864	10941	1707
865	10954	1695
866	10969	1682
867	10981	1669
868	10993	1657
869	11006	1644
870	11018	1631
871	11031	1619
872	11043	1606
873	11056	1593
874	11070	1581
875	11082	1568
876	11095	1556
877	11107	1543
878	11120	1530
879	11132	1518
880	11143	1505
881	11155	1492
882	11167	1479
883	11180	1467
884	11191	1454
885	11205	1441
886	11219	1429
887	11235	1417
888	11249	1404
889	11262	1391
890	11275	1379
891	11287	1366
892	11300	1354
893	11314	1341
894	11327	1328
895	11338	1316
896	11352	1303
897	11365	1290
898	11379	1278
899	11392	1265
900	11404	1253
901	11417	1240
902	11429	1227
903	11442	1215
904	11455	1202
905	11467	1189
906	11480	1177
907	11492	1164
908	11504	1151
909	11519	1139
910	11532	1126
911	11545	1114
912	11558	1101
913	11569	1088
914	11583	1076
915	11595	1063
916	11608	1050
917	11622	1038
918	11636	1025
919	11648	1012
920	11661	1000
921	11674	987
922	11686	974
923	11698	962
924	11711	949
925	11724	936
926	11736	924
927	11748	911
928	11762	898
929	11775	886
930	11788	873
931	11800	860
932	11813	848
933	11826	835
934	11839	823
935	11852	810
936	11864	797
937	11877	785
938	11889	772
939	11902	759
940	11915	747
941	11928	734
942	11942	721
943	11955	709
944	11969	696
945	11981	683
946	11994	671
947	12007	658
948	12020	645
949	12035	633
950	12048	620
951	12062	608
952	12075	595
953	12088	582
954	12100	570
955	12113	557
956	12126	544
957	12139	532
958	12151	519
959	12165	506
960	12178	494
961	12191	481
962	12203	468
963	12215	456
964	12227	443
965	12241	430
966	12254	418
967	12266	405
968	12279	392
969	12292	380
970	12306	367
971	12320	354
972	12332	342
973	12345	329
974	12359	316
975	12372	304
976	12384	291
977	12396	278
978	12410	266
979	12423	253
980	12437	240
981	12451	228
982	12464	215
983	12477	202
984	12491	190
985	12503	177
986	12515	164
987	12527	152
988	12539	139
989	12553	126
990	12564	114
991	12578	101
992	12591	88
993	12604	76
994	12617	63
995	12629	50
996	12642	38
997	12654	25
998	12667	12
999	12680	0
