iter	MultiClass
187	1.319363133
188	1.319170912
189	1.318990155
190	1.318787202
191	1.318595285
192	1.318392036
193	1.318182835
194	1.317873232
195	1.317654431
196	1.317465739
197	1.317283219
198	1.317060501
199	1.316915978
200	1.316674681
201	1.316451251
202	1.316046293
203	1.315842982
204	1.315659187
205	1.315410157
206	1.315276706
207	1.314892098
208	1.314720882
209	1.314446548
210	1.314159527
211	1.31395132
212	1.313777283
213	1.313556603
214	1.313381495
215	1.313144453
216	1.312961964
217	1.312611847
218	1.312482039
219	1.312318052
220	1.312027509
221	1.311843392
222	1.311607135
223	1.311400319
224	1.311269421
225	1.310987393
226	1.310801335
227	1.310581507
228	1.31040522
229	1.310210899
230	1.309988101
231	1.309777635
232	1.309583344
233	1.309384684
234	1.30905077
235	1.308875206
236	1.308717374
237	1.308459035
238	1.308144498
239	1.307891252
240	1.307631801
241	1.30743208
242	1.307169933
243	1.3069228
244	1.306682011
245	1.306534501
246	1.30629499
247	1.306088974
248	1.30578809
249	1.305514394
250	1.305355431
251	1.305152234
252	1.304927038
253	1.304680709
254	1.304453955
255	1.304223212
256	1.303991175
257	1.303847207
258	1.303760305
259	1.303565279
260	1.303286505
261	1.303033665
262	1.302841851
263	1.302649365
264	1.302480576
265	1.302166224
266	1.301961932
267	1.301758861
268	1.301524256
269	1.301277723
270	1.300980061
271	1.300819362
272	1.300610188
273	1.300369045
274	1.300130505
275	1.299977662
276	1.299798434
277	1.299584035
278	1.299340168
279	1.299121162
280	1.298617795
281	1.298390955
282	1.298165946
283	1.297983124
284	1.297767093
285	1.297590289
286	1.297364555
287	1.297205246
288	1.296955578
289	1.296782463
290	1.296515344
291	1.296308753
292	1.296157239
293	1.295848441
294	1.295638355
295	1.295471286
296	1.295152202
297	1.295044865
298	1.294889963
299	1.294758002
300	1.294526019
301	1.294333302
302	1.294095909
303	1.29391413
304	1.293737721
305	1.293516176
306	1.29332239
307	1.293072464
308	1.292869891
309	1.292675964
310	1.292474438
311	1.292263321
312	1.292107732
313	1.291904488
314	1.291741307
315	1.291620179
316	1.291429745
317	1.29124995
318	1.291046731
319	1.290877615
320	1.290654368
321	1.290417311
322	1.29018731
323	1.290005053
324	1.289818405
325	1.289595605
326	1.289381915
327	1.289171276
328	1.288984256
329	1.288782267
330	1.288610933
331	1.288440126
332	1.288263191
333	1.288069626
334	1.287906293
335	1.287737951
336	1.28760116
337	1.287431411
338	1.287181229
339	1.286967348
340	1.286773754
341	1.286538963
342	1.286304854
343	1.286108767
344	1.285890325
345	1.285687981
346	1.28551654
347	1.285380973
348	1.285133712
349	1.284836938
350	1.284678121
351	1.284521251
352	1.284342524
353	1.284135042
354	1.283909473
355	1.283737056
356	1.283513451
357	1.283340419
358	1.283170489
359	1.282912535
360	1.282744253
361	1.282561567
362	1.282306275
363	1.282070288
364	1.281899737
365	1.281625556
366	1.281458717
367	1.281252066
368	1.281145127
369	1.281037579
370	1.280865205
371	1.280703407
372	1.280447378
373	1.280250504
374	1.280031932
375	1.279791173
376	1.279643267
377	1.279461052
378	1.2792447
379	1.279039995
380	1.278930512
381	1.278779083
382	1.278545047
383	1.278358728
384	1.278187412
385	1.278042883
386	1.277866602
387	1.277663443
388	1.277484561
389	1.277365012
390	1.277227435
391	1.277021108
392	1.276808817
393	1.276599376
394	1.276436794
395	1.276280388
396	1.276067789
397	1.275910937
398	1.275707282
399	1.275538984
400	1.275339827
401	1.275170518
402	1.275020847
403	1.274920966
404	1.274787787
405	1.274600701
406	1.274425877
407	1.274228014
408	1.273997149
409	1.273923382
410	1.273776673
411	1.273599416
412	1.273418462
413	1.273310231
414	1.273154288
415	1.273025917
416	1.272796368
417	1.27260222
418	1.272478033
419	1.272294409
420	1.272138422
421	1.272003133
422	1.271892246
423	1.271706698
424	1.271557379
425	1.271378267
426	1.271250071
427	1.271065178
428	1.270823774
429	1.270613874
430	1.270311678
431	1.270169803
432	1.270022338
433	1.269784432
434	1.269477782
435	1.269306939
436	1.269126857
437	1.268925199
438	1.268761461
439	1.268576217
440	1.268294365
441	1.268045504
442	1.26784207
443	1.267388935
444	1.267223025
445	1.267047338
446	1.266886181
447	1.266690449
448	1.266444067
449	1.266198644
450	1.265978153
451	1.265776181
452	1.265568882
453	1.265318123
454	1.265152681
455	1.264940346
456	1.264754204
457	1.264570437
458	1.264356246
459	1.264161584
460	1.26395285
461	1.263782948
462	1.26358773
463	1.263432774
464	1.263306153
465	1.263152369
466	1.262979208
467	1.262773937
468	1.262592849
469	1.262431734
470	1.262235771
471	1.262109899
472	1.261918907
473	1.261779324
474	1.261574273
475	1.261431243
476	1.261247471
477	1.261010244
478	1.260877703
479	1.260671125
480	1.2604901
481	1.260293665
482	1.260134786
483	1.260018176
484	1.259865061
485	1.259691483
486	1.259543008
487	1.259377731
488	1.259212812
489	1.259043807
490	1.25888759
491	1.258719297
492	1.258535017
493	1.258344861
494	1.258135919
495	1.257966546
496	1.257820774
497	1.257614055
498	1.257454745
499	1.257317368
500	1.257099502
501	1.256905545
502	1.256689328
503	1.256522561
504	1.256306624
505	1.256074371
506	1.255889925
507	1.255663441
508	1.25546195
509	1.255272933
510	1.255003303
511	1.254824598
512	1.254687486
513	1.254514051
514	1.254329023
515	1.254186982
516	1.254040269
517	1.253805041
518	1.253642126
519	1.253476193
520	1.253265548
521	1.253104742
522	1.252910505
523	1.252761977
524	1.252461373
525	1.252267935
526	1.252014216
527	1.251841325
528	1.251717357
529	1.251597244
530	1.251380924
531	1.251216502
532	1.251069206
533	1.250867343
534	1.250680771
535	1.250600105
536	1.250404757
537	1.250155396
538	1.250031576
539	1.24989321
540	1.249685351
541	1.249520953
542	1.249321973
543	1.249082141
544	1.248892507
545	1.248702507
546	1.248480692
547	1.248412511
548	1.248292123
549	1.248083292
550	1.247862481
551	1.247716495
552	1.247573352
553	1.247363564
554	1.247205878
555	1.247037176
556	1.246848942
557	1.246710134
558	1.246534683
559	1.246385297
560	1.246246733
561	1.24608775
562	1.24586041
563	1.245678113
564	1.245502597
565	1.24527239
566	1.245068731
567	1.244895575
568	1.244737389
569	1.244627124
570	1.244465081
571	1.24431239
572	1.244102412
573	1.243871761
574	1.243691499
575	1.243510368
576	1.243324144
577	1.243144515
578	1.243010777
579	1.242875682
580	1.242712119
581	1.24248256
582	1.242306825
583	1.242163136
584	1.241998526
585	1.24179786
586	1.241604024
587	1.241425877
588	1.241242308
589	1.241088582
590	1.240968283
591	1.240781755
592	1.240642701
593	1.240377829
594	1.240272468
595	1.240081049
596	1.239939415
597	1.23982165
598	1.239596311
599	1.239462121
600	1.239247774
601	1.239085816
602	1.238889109
603	1.238735152
604	1.238548585
605	1.238287888
606	1.238092388
607	1.237894729
608	1.23775874
609	1.237628652
610	1.237477084
611	1.237284607
612	1.237055914
613	1.236900974
614	1.236762445
615	1.23662743
616	1.236475708
617	1.236269807
618	1.236089571
619	1.23586796
620	1.235660818
621	1.235537559
622	1.235347665
623	1.235174167
624	1.234937871
625	1.234748026
626	1.234544286
627	1.234308845
628	1.234149818
629	1.233976021
630	1.233794592
631	1.23365644
632	1.233560099
633	1.233442995
634	1.233174408
635	1.232968355
636	1.232822267
637	1.232694639
638	1.232490957
639	1.232349075
640	1.232154933
641	1.231965991
642	1.231826545
643	1.231649999
644	1.231472641
645	1.23123888
646	1.231070049
647	1.230942925
648	1.230795883
649	1.230663426
650	1.230525591
651	1.230355307
652	1.230133799
653	1.229981052
654	1.229777203
655	1.229597603
656	1.229483118
657	1.229330074
658	1.229208266
659	1.229017669
660	1.2288891
661	1.22873606
662	1.228583368
663	1.228401824
664	1.228194271
665	1.228044396
666	1.227912064
667	1.22777001
668	1.227623576
669	1.227455862
670	1.227331628
671	1.227137708
672	1.226900408
673	1.226735094
674	1.226511443
675	1.22640395
676	1.226199259
677	1.225963444
678	1.225851822
679	1.225748841
680	1.225593078
681	1.225483155
682	1.22541756
683	1.225272749
684	1.22509269
685	1.22493482
686	1.224814893
687	1.224678815
688	1.224491204
689	1.224363649
690	1.224192654
691	1.224024534
692	1.223847391
693	1.223653423
694	1.223429795
695	1.223280546
696	1.223138888
697	1.223012892
698	1.222817423
699	1.222621556
700	1.222442994
701	1.222304372
702	1.222163517
703	1.221957211
704	1.221829147
705	1.221633589
706	1.221426625
707	1.221216012
708	1.221093517
709	1.221020025
710	1.220887819
711	1.220731111
712	1.220541303
713	1.220390961
714	1.220196272
715	1.22004875
716	1.219924387
717	1.219763607
718	1.219587165
719	1.219328243
720	1.219151102
721	1.219031522
722	1.218935842
723	1.218810762
724	1.218579472
725	1.218343493
726	1.218144383
727	1.218022653
728	1.21791408
729	1.217777892
730	1.217544215
731	1.217198183
732	1.216995883
733	1.216900304
734	1.216674954
735	1.21655662
736	1.216311988
737	1.216142503
738	1.215982703
739	1.21584692
740	1.215656302
741	1.215520027
742	1.215343744
743	1.215201117
744	1.215067279
745	1.214874785
746	1.214688802
747	1.214484898
748	1.214277854
749	1.214130983
750	1.21399152
751	1.213817123
752	1.213691953
753	1.213557032
754	1.213349376
755	1.213242484
756	1.21307939
757	1.212848099
758	1.212617796
759	1.212447732
760	1.212315829
761	1.212137876
762	1.211964134
763	1.211782838
764	1.211691822
765	1.21155939
766	1.211387091
767	1.211265118
768	1.211085391
769	1.210966095
770	1.210796328
771	1.210608919
772	1.21052508
773	1.210376124
774	1.210169755
775	1.210007194
776	1.20984127
777	1.209680187
778	1.209505547
779	1.209365859
780	1.209264064
781	1.209137188
782	1.208971266
783	1.208724058
784	1.208619124
785	1.208509771
786	1.208372922
787	1.208226014
788	1.208141032
789	1.207924351
790	1.207755422
791	1.207594479
792	1.207408069
793	1.207247812
794	1.207083891
795	1.206954112
796	1.206755256
797	1.206550012
798	1.206417673
799	1.20630165
800	1.206145858
801	1.206029823
802	1.205910194
803	1.20579271
804	1.205646206
805	1.20544232
806	1.205242225
807	1.205030209
808	1.204887804
809	1.204749371
810	1.204573309
811	1.204408719
812	1.204294672
813	1.204174519
814	1.204007953
815	1.203847042
816	1.203703037
817	1.203589917
818	1.203462013
819	1.203317254
820	1.203087618
821	1.202930598
822	1.202714229
823	1.202575272
824	1.202425163
825	1.202278226
826	1.202163333
827	1.201997898
828	1.201794403
829	1.201659959
830	1.201543679
831	1.20143229
832	1.201253299
833	1.201141368
834	1.201028663
835	1.200847603
836	1.20066862
837	1.200553247
838	1.200425514
839	1.200302705
840	1.200147405
841	1.200062408
842	1.199892804
843	1.199733721
844	1.199597396
845	1.199472411
846	1.199338461
847	1.19912098
848	1.198957334
849	1.198811074
850	1.198675236
851	1.198566638
852	1.198450746
853	1.198309095
854	1.198149363
855	1.198009012
856	1.197870844
857	1.197708572
858	1.197512642
859	1.197372193
860	1.197199953
861	1.197036002
862	1.196885965
863	1.196759267
864	1.196641172
865	1.196482132
866	1.196309292
867	1.196159059
868	1.196044049
869	1.195880548
870	1.19574292
871	1.195620827
872	1.195414733
873	1.195291527
874	1.195124361
875	1.194952094
876	1.194814475
877	1.194663621
878	1.194536952
879	1.194399443
880	1.194273265
881	1.194099169
882	1.193892085
883	1.193795505
884	1.193630432
885	1.193485695
886	1.19330597
887	1.193162463
888	1.193063264
889	1.192922605
890	1.192749211
891	1.192671267
892	1.192538226
893	1.192332597
894	1.192193922
895	1.192089574
896	1.191935251
897	1.191710361
898	1.19161463
899	1.191476005
900	1.191341187
901	1.191165116
902	1.191063981
903	1.190895846
904	1.19066832
905	1.190546892
906	1.190403484
907	1.190285164
908	1.19016441
909	1.19000029
910	1.189814004
911	1.189693336
912	1.189562656
913	1.189432527
914	1.189278582
915	1.189175853
916	1.189014583
917	1.188877714
918	1.188751463
919	1.188645412
920	1.188484585
921	1.188333244
922	1.188245773
923	1.188092286
924	1.187958962
925	1.187822279
926	1.187671072
927	1.187550322
928	1.187413232
929	1.187204676
930	1.187027771
931	1.186860121
932	1.186738116
933	1.186555763
934	1.186417384
935	1.186267738
936	1.186093668
937	1.18591735
938	1.185798626
939	1.185629146
940	1.185487857
941	1.18537016
942	1.185242265
943	1.185069433
944	1.184960677
945	1.184844023
946	1.184707725
947	1.184516077
948	1.184381355
949	1.184184516
950	1.184068319
951	1.183890226
952	1.183767833
953	1.183624518
954	1.183458687
955	1.183304164
956	1.183153972
957	1.183023799
958	1.182879282
959	1.182744499
960	1.182601959
961	1.182457802
962	1.182290542
963	1.18216089
964	1.182042686
965	1.181930422
966	1.181647885
967	1.18152661
968	1.181364124
969	1.181229022
970	1.18104201
971	1.180869464
972	1.18068785
973	1.180561937
974	1.180410005
975	1.180320921
976	1.180165371
977	1.180054969
978	1.179873405
979	1.179698776
980	1.179625669
981	1.179510722
982	1.179309513
983	1.179151106
984	1.178985942
985	1.178820935
986	1.178678419
987	1.178521127
988	1.178423925
989	1.178282859
990	1.178148037
991	1.177990713
992	1.177878267
993	1.177731041
994	1.177604672
995	1.177497439
996	1.17735538
997	1.177256215
998	1.177111479
999	1.176962224
